C1 33.55 38.81 180 CL05A105KP5NNNC CAPC1005X55N
C2 33.73 47.24   0 CL05A105KP5NNNC CAPC1005X55N
COSC 27.48 39.63   0 GRM022R71A271KA01L CAPC0402X22N
CVM2 16.20 30.48  90 CL05B104KB54PNC CAP_CL_05_SAM
PWM 30.54 47.09   0 ERJ1GNF6802C RES_ERJ1GNF6802C
R-PWM-C 32.07 47.08   0 CL03A105MQ3CSNC CAP_CL03_SAM
ROSC 27.27 40.56 180 RC0100JR-075K1L RESC0402X15N
RRS 21.40 31.48  90 CSRL3-0R15F8 RES_CSRL3_3-200MOHM_RDN
U$2 36.12 43.00  90 IL-712 8PINSOIC
U$7 30.82 42.92  90 IL-712 8PINSOIC
U1 22.00 40.50 270 TB67H401FTG(O,EL) P-VQFN48-0707-0P50-004_TOS
